Row Labels,A0,A1,A2,,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4,(blank),Grand Total,,,,,,Row Labels,A0,A1,A2,,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4
A0,122313,,,,93976,28337,,44147,21739,38732,10791,6904,,63374,26377,28231,4331,,41101,31621,49591,,119407,2906,,110229,5433,5852,799,,26921,60809,20765,13818,,978504,,,,,,A0,21378,,,,15021,6357,,7963,4012,7064,1942,397,,10253,5034,5259,832,,5067,5920,10391,,20796,582,,18678,1234,1280,186,,4957,11229,4360,832
A1,,366485,,,175129,191356,,83033,59524,159902,55120,8906,,87144,71854,173128,34359,,41560,79546,245379,,156020,210465,,57081,116540,192477,387,,77384,136383,114584,38134,,2931880,,,,,,A1,,59582,,,27410,32172,,13140,9877,26901,9364,300,,13810,12286,26600,6886,,5511,12417,41654,,23283,36299,,9302,19930,30301,49,,11801,20902,20563,6316
A2,,,79442,,43140,36302,,19612,11620,32088,14057,2065,,23434,14844,32285,8879,,11330,16950,51162,,41526,37916,,17839,12678,21308,27617,,17384,30267,25117,6674,,635536,,,,,,A2,,,16049,,8393,7656,,4112,2412,6473,2913,139,,4930,3073,6104,1942,,2048,3339,10662,,8053,7996,,3266,2798,4588,5397,,3499,5647,5774,1129
B0,93976,175129,43140,,312245,,,84882,49482,123340,42247,12294,,109634,58972,120001,23638,,65474,70632,176139,,240406,71839,,126979,60343,107063,17860,,67474,129697,83113,31961,,2497960,,,,,,B0,15021,27410,8393,,50824,,,13872,8175,20906,7319,552,,16923,10114,19075,4712,,7827,11524,31473,,36960,13864,,20047,10841,16611,3325,,10478,20842,15683,3821
B1,28337,191356,36302,,,255995,,61910,43401,107382,37721,5581,,64318,54103,113643,23931,,28517,57485,169993,,76547,179448,,58170,74308,112574,10943,,54215,97762,77353,26665,,2047960,,,,,,B1,6357,32172,7656,,,46185,,11343,8126,19532,6900,284,,12070,10279,18888,4948,,4799,10152,31234,,15172,31013,,11199,13121,19558,2307,,9779,16936,15014,4456
C_previous1,44147,83033,19612,,84882,61910,,146792,,,,,,107511,20806,17542,933,,52874,41954,51964,,92227,54565,,50351,25827,61033,9581,,38665,57024,38448,12655,,1174336,,,,,,C_previous1,7963,13140,4112,,13872,11343,,25215,,,,,,19609,3697,1761,148,,8415,7752,9048,,15655,9560,,8693,4482,10046,1994,,6561,10092,7178,1384
C_previous2,21739,59524,11620,,49482,43401,,,92883,,,,,18605,59487,14216,575,,12499,36605,43779,,54516,38367,,26940,23103,38131,4709,,22167,37872,23648,9196,,743064,,,,,,C_previous2,4012,9877,2412,,8175,8126,,,16301,,,,,3073,11283,1818,127,,1617,6656,8028,,9307,6994,,4738,4108,6537,918,,3873,6667,4589,1172
C_previous3,38732,159902,32088,,123340,107382,,,,230722,,,,30622,22649,172782,4669,,17185,38233,175304,,118548,112174,,73727,61356,86116,9523,,44623,90512,69850,25737,,1845776,,,,,,C_previous3,7064,26901,6473,,20906,19532,,,,40438,,,,4705,4035,30414,1284,,1901,5996,32541,,19971,20467,,12871,11207,14506,1854,,7360,15548,13608,3922
C_previous4,10791,55120,14057,,42247,37721,,,,,79968,,,8830,6619,23968,40551,,4932,6982,68054,,38589,41379,,25775,21433,28781,3979,,13814,29294,26765,10095,,639744,,,,,,C_previous4,1942,9364,2913,,7319,6900,,,,,14219,,,1239,1169,3743,8068,,490,1041,12688,,6563,7656,,4501,4053,4870,795,,2217,4993,5229,1780
C_previousNA,6904,8906,2065,,12294,5581,,,,,,17875,,8384,3514,5136,841,,6501,4343,7031,,13073,4802,,8356,2932,5576,1011,,2420,12757,1755,943,,143000,,,,,,C_previousNA,397,300,139,,552,284,,,,,,836,,367,209,227,33,,203,231,402,,636,200,,443,112,210,71,,246,478,93,19
C1,63374,87144,23434,,109634,64318,,107511,18605,30622,8830,8384,,173952,,,,,86036,47219,40697,,118793,55159,,67444,25890,68110,12508,,43398,68480,46250,15824,,1391616,,,,,,C1,10253,13810,4930,,16923,12070,,19609,3073,4705,1239,367,,28993,,,,,11836,8677,8480,,19093,9900,,10658,4700,11117,2518,,7585,11357,8678,1373
C2,26377,71854,14844,,58972,54103,,20806,59487,22649,6619,3514,,,113075,,,,5806,56679,50590,,67048,46027,,32206,28409,46959,5501,,27158,48979,27364,9574,,904600,,,,,,C2,5034,12286,3073,,10114,10279,,3697,11283,4035,1169,209,,,20393,,,,629,9624,10140,,11799,8594,,5952,5255,8087,1099,,4806,8740,5469,1378
C3,28231,173128,32285,,120001,113643,,17542,14216,172782,23968,5136,,,,233644,,,1797,23502,208345,,111868,121776,,70615,65518,88969,8542,,44579,93499,70046,25520,,1869152,,,,,,C3,5259,26600,6104,,19075,18888,,1761,1818,30414,3743,227,,,,37963,,,140,3298,34525,,17577,20386,,11655,11002,13766,1540,,6656,14613,12839,3855
C4,4331,34359,8879,,23638,23931,,933,575,4669,40551,841,,,,,47569,,352,717,46500,,19244,28325,,14884,14834,15599,2252,,6554,16501,16806,7708,,380552,,,,,,C4,832,6886,1942,,4712,4948,,148,127,1284,8068,33,,,,,9660,,21,77,9562,,3663,5997,,2981,3005,3199,475,,1210,3068,3711,1671
D1,41101,41560,11330,,65474,28517,,52874,12499,17185,4932,6501,,86036,5806,1797,352,,93991,,,,70899,23092,,42973,11248,32962,6808,,24492,43464,14772,11263,,751928,,,,,,D1,5067,5511,2048,,7827,4799,,8415,1617,1901,490,203,,11836,629,140,21,,12626,,,,9035,3591,,5132,1703,4562,1229,,3705,6071,2356,494
D2,31621,79546,16950,,70632,57485,,41954,36605,38233,6982,4343,,47219,56679,23502,717,,,128117,,,76518,51599,,38470,29538,52621,7488,,29216,56317,31360,11224,,1024936,,,,,,D2,5920,12417,3339,,11524,10152,,7752,6656,5996,1041,231,,8677,9624,3298,77,,,21676,,,12954,8722,,6751,4967,8537,1421,,5094,9616,5615,1351
D3,49591,245379,51162,,176139,169993,,51964,43779,175304,68054,7031,,40697,50590,208345,46500,,,,346132,,169536,176596,,103706,93865,134054,14507,,67981,127678,114334,36139,,2769056,,,,,,D3,10391,41654,10662,,31473,31234,,9048,8028,32541,12688,402,,8480,10140,34525,9562,,,,62707,,30143,32564,,19363,17292,23070,2982,,11458,22091,22726,6432
E0,119407,156020,41526,,240406,76547,,92227,54516,118548,38589,13073,,118793,67048,111868,19244,,70899,76518,169536,,316953,,,135312,55740,107139,18762,,72174,139047,77311,28421,,2535624,,,,,,E0,20796,23283,8053,,36960,15172,,15655,9307,19971,6563,636,,19093,11799,17577,3663,,9035,12954,30143,,52132,,,22579,9665,16257,3631,,11553,23153,14491,2935
E1,2906,210465,37916,,71839,179448,,54565,38367,112174,41379,4802,,55159,46027,121776,28325,,23092,51599,176596,,,251287,,49837,78911,112498,10041,,49515,88412,83155,30205,,2010296,,,,,,E1,582,36299,7996,,13864,31013,,9560,6994,20467,7656,200,,9900,8594,20386,5997,,3591,8722,32564,,,44877,,8667,14297,19912,2001,,8704,14625,16206,5342
F0,110229,57081,17839,,126979,58170,,50351,26940,73727,25775,8356,,67444,32206,70615,14884,,42973,38470,103706,,135312,49837,,185149,,,,,39726,102119,24705,18599,,1481192,,,,,,F0,18678,9302,3266,,20047,11199,,8693,4738,12871,4501,443,,10658,5952,11655,2981,,5132,6751,19363,,22579,8667,,31246,,,,,7026,17535,5211,1474
F1,5433,116540,12678,,60343,74308,,25827,23103,61356,21433,2932,,25890,28409,65518,14834,,11248,29538,93865,,55740,78911,,,134651,,,,22726,45554,49967,16404,,1077208,,,,,,F1,1234,19930,2798,,10841,13121,,4482,4108,11207,4053,112,,4700,5255,11002,3005,,1703,4967,17292,,9665,14297,,,23962,,,,3656,7434,9896,2976
F2,5852,192477,21308,,107063,112574,,61033,38131,86116,28781,5576,,68110,46959,88969,15599,,32962,52621,134054,,107139,112498,,,,219637,,,51641,69529,77054,21413,,1757096,,,,,,F2,1280,30301,4588,,16611,19558,,10046,6537,14506,4870,210,,11117,8087,13766,3199,,4562,8537,23070,,16257,19912,,,,36169,,,8007,10772,13888,3502
F3,799,387,27617,,17860,10943,,9581,4709,9523,3979,1011,,12508,5501,8542,2252,,6808,7488,14507,,18762,10041,,,,,28803,,7596,10257,8740,2210,,230424,,,,,,F3,186,49,5397,,3325,2307,,1994,918,1854,795,71,,2518,1099,1540,475,,1229,1421,2982,,3631,2001,,,,,5632,,1568,2037,1702,325
G1,26921,77384,17384,,67474,54215,,38665,22167,44623,13814,2420,,43398,27158,44579,6554,,24492,29216,67981,,72174,49515,,39726,22726,51641,7596,,121689,,,,,973512,,,,,,G1,4957,11801,3499,,10478,9779,,6561,3873,7360,2217,246,,7585,4806,6656,1210,,3705,5094,11458,,11553,8704,,7026,3656,8007,1568,,20257,,,
G2,60809,136383,30267,,129697,97762,,57024,37872,90512,29294,12757,,68480,48979,93499,16501,,43464,56317,127678,,139047,88412,,102119,45554,69529,10257,,,227459,,,,1819672,,,,,,G2,11229,20902,5647,,20842,16936,,10092,6667,15548,4993,478,,11357,8740,14613,3068,,6071,9616,22091,,23153,14625,,17535,7434,10772,2037,,,37778,,
G3,20765,114584,25117,,83113,77353,,38448,23648,69850,26765,1755,,46250,27364,70046,16806,,14772,31360,114334,,77311,83155,,24705,49967,77054,8740,,,,160466,,,1283728,,,,,,G3,4360,20563,5774,,15683,15014,,7178,4589,13608,5229,93,,8678,5469,12839,3711,,2356,5615,22726,,14491,16206,,5211,9896,13888,1702,,,,30697,
G4,13818,38134,6674,,31961,26665,,12655,9196,25737,10095,943,,15824,9574,25520,7708,,11263,11224,36139,,28421,30205,,18599,16404,21413,2210,,,,,58626,,469008,,,,,,G4,832,6316,1129,,3821,4456,,1384,1172,3922,1780,19,,1373,1378,3855,1671,,494,1351,6432,,2935,5342,,1474,2976,3502,325,,,,,8277
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,978504,2931880,635536,,2497960,2047960,,1174336,743064,1845776,639744,143000,,1391616,904600,1869152,380552,,751928,1024936,2769056,,2535624,2010296,,1481192,1077208,1757096,230424,,973512,1819672,1283728,469008,,36367360,,,,,,Grand Total,171024,476656,128392,,406592,369480,,201720,130408,323504,113752,6688,,231944,163144,303704,77280,,101008,173408,501656,,417056,359016,,249968,191696,289352,45056,,162056,302224,245576,66216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reocrds  = ,568240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reocrds  = ,97009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,A0,A1,A2,,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4,,,,,,,,Row Labels,A0,A1,A2,0,B0,B1,,C_previous1,C_previous2,C_previous3,C_previous4,C_previousNA,,C1,C2,C3,C4,,D1,D2,D3,,E0,E1,,F0,F1,F2,F3,,G1,G2,G3,G4
A0,22%,0%,0%,,17%,5%,,8%,4%,7%,2%,1%,,11%,5%,5%,1%,,7%,6%,9%,,21%,1%,,19%,1%,1%,0%,,5%,11%,4%,2%,,,,,,,,A0,22%,0%,0%,,15%,7%,,8%,4%,7%,2%,0%,,11%,5%,5%,1%,,5%,6%,11%,,21%,1%,,19%,1%,1%,0%,,5%,12%,4%,1%
A1,0%,64%,0%,,31%,34%,,15%,10%,28%,10%,2%,,15%,13%,30%,6%,,7%,14%,43%,,27%,37%,,10%,21%,34%,0%,,14%,24%,20%,7%,,,,,,,,A1,0%,61%,0%,,28%,33%,,14%,10%,28%,10%,0%,,14%,13%,27%,7%,,6%,13%,43%,,24%,37%,,10%,21%,31%,0%,,12%,22%,21%,7%
A2,0%,0%,14%,,8%,6%,,3%,2%,6%,2%,0%,,4%,3%,6%,2%,,2%,3%,9%,,7%,7%,,3%,2%,4%,5%,,3%,5%,4%,1%,,,,,,,,A2,0%,0%,17%,,9%,8%,,4%,2%,7%,3%,0%,,5%,3%,6%,2%,,2%,3%,11%,,8%,8%,,3%,3%,5%,6%,,4%,6%,6%,1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,17%,31%,8%,,55%,0%,,15%,9%,22%,7%,2%,,19%,10%,21%,4%,,12%,12%,31%,,42%,13%,,22%,11%,19%,3%,,12%,23%,15%,6%,,,,,,,,B0,15%,28%,9%,,52%,0%,,14%,8%,22%,8%,1%,,17%,10%,20%,5%,,8%,12%,32%,,38%,14%,,21%,11%,17%,3%,,11%,21%,16%,4%
B1,5%,34%,6%,,0%,45%,,11%,8%,19%,7%,1%,,11%,10%,20%,4%,,5%,10%,30%,,13%,32%,,10%,13%,20%,2%,,10%,17%,14%,5%,,,,,,,,B1,7%,33%,8%,,0%,48%,,12%,8%,20%,7%,0%,,12%,11%,19%,5%,,5%,10%,32%,,16%,32%,,12%,14%,20%,2%,,10%,17%,15%,5%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_previous1,8%,15%,3%,,15%,11%,,26%,0%,0%,0%,0%,,19%,4%,3%,0%,,9%,7%,9%,,16%,10%,,9%,5%,11%,2%,,7%,10%,7%,2%,,,,,,,,C_previous1,8%,14%,4%,,14%,12%,,26%,0%,0%,0%,0%,,20%,4%,2%,0%,,9%,8%,9%,,16%,10%,,9%,5%,10%,2%,,7%,10%,7%,1%
C_previous2,4%,10%,2%,,9%,8%,,0%,16%,0%,0%,0%,,3%,10%,3%,0%,,2%,6%,8%,,10%,7%,,5%,4%,7%,1%,,4%,7%,4%,2%,,,,,,,,C_previous2,4%,10%,2%,,8%,8%,,0%,17%,0%,0%,0%,,3%,12%,2%,0%,,2%,7%,8%,,10%,7%,,5%,4%,7%,1%,,4%,7%,5%,1%
C_previous3,7%,28%,6%,,22%,19%,,0%,0%,41%,0%,0%,,5%,4%,30%,1%,,3%,7%,31%,,21%,20%,,13%,11%,15%,2%,,8%,16%,12%,5%,,,,,,,,C_previous3,7%,28%,7%,,22%,20%,,0%,0%,42%,0%,0%,,5%,4%,31%,1%,,2%,6%,34%,,21%,21%,,13%,12%,15%,2%,,8%,16%,14%,4%
C_previous4,2%,10%,2%,,7%,7%,,0%,0%,0%,14%,0%,,2%,1%,4%,7%,,1%,1%,12%,,7%,7%,,5%,4%,5%,1%,,2%,5%,5%,2%,,,,,,,,C_previous4,2%,10%,3%,,8%,7%,,0%,0%,0%,15%,0%,,1%,1%,4%,8%,,1%,1%,13%,,7%,8%,,5%,4%,5%,1%,,2%,5%,5%,2%
C_previousNA,1%,2%,0%,,2%,1%,,0%,0%,0%,0%,3%,,1%,1%,1%,0%,,1%,1%,1%,,2%,1%,,1%,1%,1%,0%,,0%,2%,0%,0%,,,,,,,,C_previousNA,0%,0%,0%,,1%,0%,,0%,0%,0%,0%,1%,,0%,0%,0%,0%,,0%,0%,0%,,1%,0%,,0%,0%,0%,0%,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,11%,15%,4%,,19%,11%,,19%,3%,5%,2%,1%,,31%,0%,0%,0%,,15%,8%,7%,,21%,10%,,12%,5%,12%,2%,,8%,12%,8%,3%,,,,,,,,C1,11%,14%,5%,,17%,12%,,20%,3%,5%,1%,0%,,30%,0%,0%,0%,,12%,9%,9%,,20%,10%,,11%,5%,11%,3%,,8%,12%,9%,1%
C2,5%,13%,3%,,10%,10%,,4%,10%,4%,1%,1%,,0%,20%,0%,0%,,1%,10%,9%,,12%,8%,,6%,5%,8%,1%,,5%,9%,5%,2%,,,,,,,,C2,5%,13%,3%,,10%,11%,,4%,12%,4%,1%,0%,,0%,21%,0%,0%,,1%,10%,10%,,12%,9%,,6%,5%,8%,1%,,5%,9%,6%,1%
C3,5%,30%,6%,,21%,20%,,3%,3%,30%,4%,1%,,0%,0%,41%,0%,,0%,4%,37%,,20%,21%,,12%,12%,16%,2%,,8%,16%,12%,4%,,,,,,,,C3,5%,27%,6%,,20%,19%,,2%,2%,31%,4%,0%,,0%,0%,39%,0%,,0%,3%,36%,,18%,21%,,12%,11%,14%,2%,,7%,15%,13%,4%
